100000,Inside risks: the clock grows at midnight,524799,Inside the as/400,0.11804916548992204
100000,Inside risks: the clock grows at midnight,204549,Inside ODBC,0.11804916548992204
100000,Inside risks: the clock grows at midnight,138407,Inside Windows NT,0.090809584157486273
100000,Inside risks: the clock grows at midnight,551423,Inside Windows NT,0.090809584157486273
100000,Inside risks: the clock grows at midnight,806737,Byzantine clock synchronization,0.086747948627832736
100226,Coherent functions and program checkers,802557,Program slicing,0.10287188370917591
100226,Coherent functions and program checkers,74871,Mirage: a coherent distributed shared memory design,0.083121160072661668
100226,Coherent functions and program checkers,176577,A coherent distributed file cache with directory write-behind,0.081116943318721796
100226,Coherent functions and program checkers,324179,Linear hash functions,0.077247401448754041
100226,Coherent functions and program checkers,6503,How to construct random functions,0.074713284337859662
100228,The wakeup problem,357176,The Byzantine Generals Problem,0.12426299539922545
100228,The wakeup problem,2144836,The quorum deployment problem,0.11480083420916799
100228,The wakeup problem,362389,A note on the confinement problem,0.10828619477277622
100228,The wakeup problem,1804,The drinking philosophers problem,0.10807281394067693
100228,The wakeup problem,830511,A Note on the Denial-of-Service Problem,0.096949598201303056
100231,Efficient robust parallel computations,867482,The Complexity of Parallel Computations,0.3216768993480888
100231,Efficient robust parallel computations,321485,Scheduling Parallel Computations,0.31492912921152083
100231,Efficient robust parallel computations,888568,A GRAPH MODEL FOR PARALLEL COMPUTATIONS,0.24797879143250706
100231,Efficient robust parallel computations,358613,Asynchronous distributed simulation via a sequence of parallel computations,0.18960802884022032
100231,Efficient robust parallel computations,98741,The R*-tree: an efficient and robust access method for points and rectangles,0.17807689893065723
100262,An optimal algorithm for on-line bipartite matching,358537,An optimal algorithm for mutual exclusion in computer networks,0.16977934775016587
100262,An optimal algorithm for on-line bipartite matching,118233,On-line/off-line digital signatures,0.12417964811748174
100262,An optimal algorithm for on-line bipartite matching,112608,Optimal coteries,0.09450472673271107
100262,An optimal algorithm for on-line bipartite matching,227256,Routing on longest-matching prefixes,0.082674102348957487
100262,An optimal algorithm for on-line bipartite matching,93365,From on-line to batch learning,0.077413926330680491
100269,One-way functions are necessary and sufficient for secure signatures,1081394,Necessary and sufficient conditions for broadcast consensus protocols,0.20389238245378249
100269,One-way functions are necessary and sufficient for secure signatures,705517,Necessary and Sufficient Conditions For Collision-Free Hashing,0.19829440003947021
100269,One-way functions are necessary and sufficient for secure signatures,74682,Using one-way functions for authentication,0.19606873442999814
100269,One-way functions are necessary and sufficient for secure signatures,22185,One-way functions and pseudorandom generators,0.18401377178076983
100269,One-way functions are necessary and sufficient for secure signatures,73009,Pseudo-random generation from one-way functions,0.16724579429754505
100270,Pseudo-random generators under uniform assumptions,1382799,"Trapdoor pseudo-random number generators, with applications to protocol design",0.18806223867278296
100270,Pseudo-random generators under uniform assumptions,1756155,Distributed Pseudo-random functions and KDCs,0.17362334833586407
100270,Pseudo-random generators under uniform assumptions,73009,Pseudo-random generation from one-way functions,0.1724375977386442
100270,Pseudo-random generators under uniform assumptions,704573,Efficient Parallel Pseudo-Random Number Generation,0.15852995144283144
100270,Pseudo-random generators under uniform assumptions,1398573,Efficient And Secure Pseudo-Random Number Generation,0.15733888092533979
100272,Witness indistinguishable and witness hiding protocols,237998,Witness-based cryptographic program checking and robust function sharing,0.12379713020945744
100272,Witness indistinguishable and witness hiding protocols,28417,On hiding information from an oracle,0.10785346116175967
100272,Witness indistinguishable and witness hiding protocols,694190,Hiding Instances in Multioracle Queries,0.082737088737963024
100272,Witness indistinguishable and witness hiding protocols,802214,Cryptographic protocols,0.062382124487281032
100272,Witness indistinguishable and witness hiding protocols,910814,Cryptographic protocols,0.062382124487281032
100273,Public-key cryptosystems provably secure against chosen ciphertext attacks,759582,Towards Practical Public Key Systems Secure Against Chosen Ciphertext Attacks,0.51232470963558951
100273,Public-key cryptosystems provably secure against chosen ciphertext attacks,746434,Distributed Public Key Cryptosystems,0.35107454934447135
100273,Public-key cryptosystems provably secure against chosen ciphertext attacks,705519,Fair Public-Key Cryptosystems,0.33616131439550201
100273,Public-key cryptosystems provably secure against chosen ciphertext attacks,706340,A Practical Public Key Cryptosystem Provably Secure Against Adaptive Chosen Ciphertext Attack,0.29293795189440686
100273,Public-key cryptosystems provably secure against chosen ciphertext attacks,188194,Another method for attaining security against adaptively chosen ciphertext attacks,0.28926723920149683
100287,The round complexity of secure protocols,145712,The round complexity of secure protocols,0.99999999999999978
100287,The round complexity of secure protocols,62214,Multiparty unconditionally secure protocols,0.21946340715202858
100287,The round complexity of secure protocols,802192,Communication complexity,0.13602394267519249
100287,The round complexity of secure protocols,535805,The  Complexity of Computing,0.12843612915836641
100287,The round complexity of secure protocols,807712,A complexity measure,0.11726392104758426
100289,Efficient computation on oblivious RAMs,28416,Towards a theory of software protection and simulation by oblivious RAMs,0.27350279912086717
100289,Efficient computation on oblivious RAMs,301312,Oblivious transfer and polynomial evaluation,0.10210882201199829
100289,Efficient computation on oblivious RAMs,62215,Founding crytpography on oblivious transfer,0.095722661225302957
100289,Efficient computation on oblivious RAMs,258638,Oblivious data structures: applications to cryptography,0.093247655067534269
100289,Efficient computation on oblivious RAMs,705372,Secure Computation (Abstract),0.07895124006611122
100511,The C programming language,6645,The C++ programming language,0.99999999999999978
100511,The C programming language,7519,The C programming language,0.99999999999999978
100511,The C programming language,1098666,A programming language,0.99999999999999978
100511,The C programming language,174157,The design of the E programming language,0.58813372932350028
100511,The C programming language,297847,WebL - a programming language for the Web,0.42818286249324333
1006707,Single-ISA Heterogeneous Multi-Core Architectures for Multithreaded Workload Performance,279367,An analysis of database workload performance on simultaneous multithreaded processors,0.14346994933519117
1006707,Single-ISA Heterogeneous Multi-Core Architectures for Multithreaded Workload Performance,828414,Alleviating Priority Inversion and Non-Determinism in Real-Time CORBA ORB Core Architectures,0.089595361562875314
1006707,Single-ISA Heterogeneous Multi-Core Architectures for Multithreaded Workload Performance,525572,Multithreaded Processor Design,0.067707090775455225
1006707,Single-ISA Heterogeneous Multi-Core Architectures for Multithreaded Workload Performance,620806,A Single-Chip Multiprocessor,0.061618882565491341
1006707,Single-ISA Heterogeneous Multi-Core Architectures for Multithreaded Workload Performance,304092,Performance limitations of the Java core libraries,0.061485916235203081
1006716,X-RAY: A Non-Invasive Exclusive Caching Mechanism for RAIDs,151651,Lazy caching,0.075050511800717451
1006716,X-RAY: A Non-Invasive Exclusive Caching Mechanism for RAIDs,713858,My Cache or Yours? Making Storage More Exclusive,0.072888417535728389
1006716,X-RAY: A Non-Invasive Exclusive Caching Mechanism for RAIDs,322406,Locking Protocols: From Exclusive to Shared Locks,0.062320917196495795
1006716,X-RAY: A Non-Invasive Exclusive Caching Mechanism for RAIDs,276347,"Replication, consistency, and practicality: are these mutually exclusive?",0.060397675747941436
1006716,X-RAY: A Non-Invasive Exclusive Caching Mechanism for RAIDs,784803,A Secure Directory Service based on Exclusive Encryption,0.055771417744210398
1007524,Where the bugs are,581377,Tracking down software bugs using automatic anomaly detection,0.23028058003634744
1007524,Where the bugs are,502041,Bugs as deviant behavior: a general approach to inferring errors in systems code,0.19707851237781909
1007524,Where the bugs are,1973448,"Life, death, and the critical transition: finding liveness bugs in systems code",0.19246305903148994
1007524,Where the bugs are,1095833,Rx: treating bugs as allergies---a safe method to survive software failures,0.18916075161304682
1007524,Where the bugs are,RFC3530,Network File System (NFS) version 4 Protocol,0.0
1007662,"Highly available, fault-tolerant, parallel dataflows",203132,Supporting Fault-Tolerant Parallel Programming in Linda,0.29175593683142914
1007662,"Highly available, fault-tolerant, parallel dataflows",10593,Highly available distributed services and fault-tolerant distributed garbage collection,0.19501793063477973
1007662,"Highly available, fault-tolerant, parallel dataflows",793535,"Highly-available, scalable network storage",0.1647850144105184
1007662,"Highly available, fault-tolerant, parallel dataflows",793622,A scalable and highly available web server,0.16177645776467453
1007662,"Highly available, fault-tolerant, parallel dataflows",889992,AUTOMATIC REPLICATION FOR HIGHLY AVAILABLE SERVICES,0.15900176872573329
1009717,Performance and Dependability of Structured Peer-to-Peer Overlays,2158062,Providing administrative control and autonomy in structured peer-to-peer overlays,0.47301433998344522
1009717,Performance and Dependability of Structured Peer-to-Peer Overlays,1060317,Secure routing for structured peer-to-peer overlay networks,0.32544146901314336
1009717,Performance and Dependability of Structured Peer-to-Peer Overlays,863999,Graph-theoretic analysis of structured peer-to-peer systems: routing distances and fault resilience,0.24934842136432003
1009717,Performance and Dependability of Structured Peer-to-Peer Overlays,776346,A reputation system for peer-to-peer networks,0.23452288800402321
1009717,Performance and Dependability of Structured Peer-to-Peer Overlays,571863,Analysis of the evolution of peer-to-peer systems,0.20142981545867433
1009718,Robust Aggregation Protocols for Large-Scale Overlay Networks,502048,Resilient overlay networks,0.23193141266343298
